"","first_driver","second_driver","score","n_samples","p.value","type","samples"
"6012","10q","19q",0,2,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6013","12p","19q",-0.25,4,0.39100221895577,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds b42d183c-bc9c-4652-9e56-10c54c5ee96e.rds"
"6014","16q","19q",0,3,NA,"MELA","2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds f07b9192-c86f-4ee4-a3b5-feb9c5098bf4.rds"
"6015","1p","19q",0,3,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds f07b9192-c86f-4ee4-a3b5-feb9c5098bf4.rds"
"6016","14whole","19q",-1,1,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds"
"6017","18q","19q",0,1,NA,"MELA","2e76891c-b620-4cc0-9315-6f1217b09b1e.rds"
"6018","12q","19q",-0.5,2,0.5,"MELA","9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds b42d183c-bc9c-4652-9e56-10c54c5ee96e.rds"
"6019","17q","19q",0,1,NA,"MELA","9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6020","1q","19q",0,1,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds"
"6021","11q","19q",0,1,NA,"MELA","2e76891c-b620-4cc0-9315-6f1217b09b1e.rds"
"6022","14q","19q",0,1,NA,"MELA","b42d183c-bc9c-4652-9e56-10c54c5ee96e.rds"
"6023","10p","20q",0,2,NA,"MELA","2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 72108583-5320-46ec-945f-5ff173d7dc15.rds"
"6024","19p","20q",0,2,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6025","19q","20q",0,3,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6026","16p","20q",-0.333333333333333,3,0.422649730810374,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 72108583-5320-46ec-945f-5ff173d7dc15.rds"
"6027","11p","20q",0,1,NA,"MELA","9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6028","13whole","20q",0,3,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6029","15q","20q",-0.333333333333333,3,0.422649730810374,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6030","18p","20q",0,2,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds"
"6031","17p","20q",-0.5,2,0.5,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 72108583-5320-46ec-945f-5ff173d7dc15.rds"
"6032","20p","20q",-0.166666666666667,6,0.363217467649122,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 142b6dbf-c943-4a7d-8ab6-13a975f48d7a.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 7117854b-6f0a-4a43-b66c-506a3e29377d.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds f24688a9-7952-49d8-ba80-2bbad472379c.rds"
"6033","10q","20q",0,2,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6034","12p","20q",-0.333333333333333,3,0.422649730810374,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6035","16q","20q",0,3,NA,"MELA","2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 72108583-5320-46ec-945f-5ff173d7dc15.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6036","1p","20q",0,2,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds"
"6037","2q","20q",0,2,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6038","14whole","20q",-1,1,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds"
"6039","18q","20q",0,1,NA,"MELA","2e76891c-b620-4cc0-9315-6f1217b09b1e.rds"
"6040","12q","20q",-0.5,2,0.5,"MELA","72108583-5320-46ec-945f-5ff173d7dc15.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6041","2p","20q",0,2,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6042","17q","20q",0,1,NA,"MELA","9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6043","1q","20q",0,1,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds"
"6044","11q","20q",0,1,NA,"MELA","2e76891c-b620-4cc0-9315-6f1217b09b1e.rds"
"6045","10p","21q",-0.25,4,0.39100221895577,"MELA","2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 5c3def3a-b515-41f6-8157-681b963534e7.rds 72108583-5320-46ec-945f-5ff173d7dc15.rds 8ca665f8-fe78-48bf-8c0f-c606d92885d4.rds"
"6046","19p","21q",0.25,4,0.39100221895577,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 8ca665f8-fe78-48bf-8c0f-c606d92885d4.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds ead1bc2e-42c3-46d9-8f6f-8cb16ba9d2c3.rds"
"6047","19q","21q",0,3,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6048","20q","21q",0,4,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 72108583-5320-46ec-945f-5ff173d7dc15.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6049","16p","21q",-0.25,4,0.39100221895577,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 72108583-5320-46ec-945f-5ff173d7dc15.rds 8ca665f8-fe78-48bf-8c0f-c606d92885d4.rds"
"6050","11p","21q",0.2,5,0.373900966300059,"MELA","5c3def3a-b515-41f6-8157-681b963534e7.rds 8ca665f8-fe78-48bf-8c0f-c606d92885d4.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds bcefbf6a-80ff-4825-9d3a-492e2dceb35d.rds ead1bc2e-42c3-46d9-8f6f-8cb16ba9d2c3.rds"
"6051","13whole","21q",0,5,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 8ca665f8-fe78-48bf-8c0f-c606d92885d4.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds b3befa40-8f44-4eb6-ada0-ec395f460656.rds"
"6052","15q","21q",-0.2,5,0.373900966300059,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 5c3def3a-b515-41f6-8157-681b963534e7.rds 7e22401d-f4cd-44c5-8a01-b08a439e5a31.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6053","18p","21q",0,7,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 16d5519e-ecb9-4fc8-81f1-e0e4adf722a8.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 5c3def3a-b515-41f6-8157-681b963534e7.rds 7e22401d-f4cd-44c5-8a01-b08a439e5a31.rds 8ca665f8-fe78-48bf-8c0f-c606d92885d4.rds b3befa40-8f44-4eb6-ada0-ec395f460656.rds"
"6054","17p","21q",-0.25,4,0.39100221895577,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 72108583-5320-46ec-945f-5ff173d7dc15.rds 7e22401d-f4cd-44c5-8a01-b08a439e5a31.rds bcefbf6a-80ff-4825-9d3a-492e2dceb35d.rds"
"6055","20p","21q",0,4,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds bcefbf6a-80ff-4825-9d3a-492e2dceb35d.rds"
"6056","10q","21q",0,3,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 8ca665f8-fe78-48bf-8c0f-c606d92885d4.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6057","12p","21q",-0.4,5,0.177807808356221,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 56ddcb96-e90b-4fce-aa4c-c677bbfee488.rds 5c3def3a-b515-41f6-8157-681b963534e7.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6058","16q","21q",0,3,NA,"MELA","2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 72108583-5320-46ec-945f-5ff173d7dc15.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6059","1p","21q",0,2,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds"
"6060","2q","21q",0,2,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6061","14whole","21q",-1,1,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds"
"6062","18q","21q",0,4,NA,"MELA","16d5519e-ecb9-4fc8-81f1-e0e4adf722a8.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 8ca665f8-fe78-48bf-8c0f-c606d92885d4.rds b3befa40-8f44-4eb6-ada0-ec395f460656.rds"
"6063","12q","21q",-0.666666666666667,3,0.183503419072274,"MELA","5c3def3a-b515-41f6-8157-681b963534e7.rds 72108583-5320-46ec-945f-5ff173d7dc15.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6064","2p","21q",0,2,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6065","17q","21q",0,2,NA,"MELA","9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds bcefbf6a-80ff-4825-9d3a-492e2dceb35d.rds"
"6066","1q","21q",0,2,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 56ddcb96-e90b-4fce-aa4c-c677bbfee488.rds"
"6067","11q","21q",0,1,NA,"MELA","2e76891c-b620-4cc0-9315-6f1217b09b1e.rds"
"6068","10p","22q",-0.5,2,0.5,"MELA","2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 5c3def3a-b515-41f6-8157-681b963534e7.rds"
"6069","19p","22q",0,2,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds a84915de-6562-4836-86f9-f2a05598296e.rds"
"6070","19q","22q",0,3,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds a84915de-6562-4836-86f9-f2a05598296e.rds"
"6071","20q","22q",0,4,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 142b6dbf-c943-4a7d-8ab6-13a975f48d7a.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 63762458-902a-4329-a823-703b54cb5f9d.rds"
"6072","21q","22q",0,3,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 5c3def3a-b515-41f6-8157-681b963534e7.rds"
"6073","16p","22q",-0.5,2,0.5,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds"
"6074","11p","22q",0,1,NA,"MELA","5c3def3a-b515-41f6-8157-681b963534e7.rds"
"6075","13whole","22q",0,2,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds"
"6076","15q","22q",0,3,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 5c3def3a-b515-41f6-8157-681b963534e7.rds"
"6077","18p","22q",0,5,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 5c3def3a-b515-41f6-8157-681b963534e7.rds a84915de-6562-4836-86f9-f2a05598296e.rds e04bcdff-3206-4c25-bae9-09f0222b074a.rds"
"6078","17p","22q",-0.5,2,0.5,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds a84915de-6562-4836-86f9-f2a05598296e.rds"
"6079","20p","22q",0,3,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 142b6dbf-c943-4a7d-8ab6-13a975f48d7a.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds"
"6080","10q","22q",0,1,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds"
"6081","12p","22q",-0.333333333333333,3,0.422649730810374,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 5c3def3a-b515-41f6-8157-681b963534e7.rds"
"6082","16q","22q",0,1,NA,"MELA","2e76891c-b620-4cc0-9315-6f1217b09b1e.rds"
"6083","1p","22q",0,2,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds"
"6084","2q","22q",0,1,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds"
"6085","14whole","22q",-1,1,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds"
"6086","18q","22q",0,1,NA,"MELA","2e76891c-b620-4cc0-9315-6f1217b09b1e.rds"
"6087","12q","22q",-1,1,NA,"MELA","5c3def3a-b515-41f6-8157-681b963534e7.rds"
"6088","2p","22q",0,2,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2790b964-63e3-49aa-bf8c-9a00d3448c25.rds"
"6089","1q","22q",0,1,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds"
"6090","11q","22q",0,1,NA,"MELA","2e76891c-b620-4cc0-9315-6f1217b09b1e.rds"
"6091","4p","7p",0,1,NA,"MELA","1d4a091d-fe65-49c0-8810-5a95243b108a.rds"
"6092","5p","7p",0.5,2,0.5,"MELA","1d4a091d-fe65-49c0-8810-5a95243b108a.rds b42d183c-bc9c-4652-9e56-10c54c5ee96e.rds"
"6093","19p","7p",1,1,NA,"MELA","b42d183c-bc9c-4652-9e56-10c54c5ee96e.rds"
"6094","19q","7p",0.5,2,0.5,"MELA","5912d4b3-2d5d-4b98-b967-1b4ff177097a.rds b42d183c-bc9c-4652-9e56-10c54c5ee96e.rds"
"6095","20q","7p",0,1,NA,"MELA","d2620dab-4319-499a-b8f1-9575aaf8f4f3.rds"
"6096","21q","7p",0,1,NA,"MELA","16d5519e-ecb9-4fc8-81f1-e0e4adf722a8.rds"
"6097","22q","7p",1,1,NA,"MELA","2790b964-63e3-49aa-bf8c-9a00d3448c25.rds"
"6098","4q","7p",0,1,NA,"MELA","1d4a091d-fe65-49c0-8810-5a95243b108a.rds"
"6099","11p","7p",0.5,2,0.5,"MELA","1d4a091d-fe65-49c0-8810-5a95243b108a.rds b42d183c-bc9c-4652-9e56-10c54c5ee96e.rds"
"6100","18p","7p",0,2,NA,"MELA","16d5519e-ecb9-4fc8-81f1-e0e4adf722a8.rds 1d4a091d-fe65-49c0-8810-5a95243b108a.rds"
"6101","17p","7p",0,1,NA,"MELA","b42d183c-bc9c-4652-9e56-10c54c5ee96e.rds"
"6102","20p","7p",0,1,NA,"MELA","b42d183c-bc9c-4652-9e56-10c54c5ee96e.rds"
"6103","10q","7p",0,1,NA,"MELA","1d4a091d-fe65-49c0-8810-5a95243b108a.rds"
"6104","12p","7p",0.5,2,0.5,"MELA","1d4a091d-fe65-49c0-8810-5a95243b108a.rds b42d183c-bc9c-4652-9e56-10c54c5ee96e.rds"
"6105","16q","7p",0,1,NA,"MELA","1d4a091d-fe65-49c0-8810-5a95243b108a.rds"
"6106","6p","7p",-0.5,2,0.5,"MELA","1d4a091d-fe65-49c0-8810-5a95243b108a.rds 25e20393-752b-4796-9001-0e22ee04c586.rds"
"6107","18q","7p",0,2,NA,"MELA","16d5519e-ecb9-4fc8-81f1-e0e4adf722a8.rds 1d4a091d-fe65-49c0-8810-5a95243b108a.rds"
"6108","12q","7p",1,1,NA,"MELA","b42d183c-bc9c-4652-9e56-10c54c5ee96e.rds"
"6109","2p","7p",1,1,NA,"MELA","2790b964-63e3-49aa-bf8c-9a00d3448c25.rds"
"6110","11q","7p",0,1,NA,"MELA","1d4a091d-fe65-49c0-8810-5a95243b108a.rds"
"6111","14q","7p",0.5,2,0.5,"MELA","1d4a091d-fe65-49c0-8810-5a95243b108a.rds b42d183c-bc9c-4652-9e56-10c54c5ee96e.rds"
"6112","10p","16p",0.2,5,0.373900966300059,"MELA","1daefc49-5248-4948-87ce-0ec19a248ef9.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 6d4a548a-7e30-4b6b-9a13-72827eed439c.rds 72108583-5320-46ec-945f-5ff173d7dc15.rds 8ca665f8-fe78-48bf-8c0f-c606d92885d4.rds"
"6113","11p","16p",0,2,NA,"MELA","1daefc49-5248-4948-87ce-0ec19a248ef9.rds 8ca665f8-fe78-48bf-8c0f-c606d92885d4.rds"
"6114","13whole","16p",0.333333333333333,3,0.422649730810374,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 8ca665f8-fe78-48bf-8c0f-c606d92885d4.rds"
"6115","15q","16p",0.333333333333333,3,0.422649730810374,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 1daefc49-5248-4948-87ce-0ec19a248ef9.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds"
"6116","10q","16p",0.25,4,0.39100221895577,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 1daefc49-5248-4948-87ce-0ec19a248ef9.rds 20e02396-e676-412d-9724-44a428919cdb.rds 8ca665f8-fe78-48bf-8c0f-c606d92885d4.rds"
"6117","12p","16p",0.333333333333333,3,0.422649730810374,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds 6d4a548a-7e30-4b6b-9a13-72827eed439c.rds"
"6118","1p","16p",0.5,2,0.5,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 2e76891c-b620-4cc0-9315-6f1217b09b1e.rds"
"6119","14whole","16p",0,2,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds 1daefc49-5248-4948-87ce-0ec19a248ef9.rds"
"6120","12q","16p",0,1,NA,"MELA","72108583-5320-46ec-945f-5ff173d7dc15.rds"
"6121","1q","16p",1,1,NA,"MELA","08b5d0e4-4661-460e-a9f7-f2e687414711.rds"
"6122","11q","16p",0,1,NA,"MELA","2e76891c-b620-4cc0-9315-6f1217b09b1e.rds"
"6123","4p","4q",0.5,4,0.181690113816209,"MELA","1d4a091d-fe65-49c0-8810-5a95243b108a.rds 1daefc49-5248-4948-87ce-0ec19a248ef9.rds 6d4a548a-7e30-4b6b-9a13-72827eed439c.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6124","10p","4q",1,2,NA,"MELA","1daefc49-5248-4948-87ce-0ec19a248ef9.rds 6d4a548a-7e30-4b6b-9a13-72827eed439c.rds"
"6125","19p","4q",0.5,2,0.5,"MELA","1daefc49-5248-4948-87ce-0ec19a248ef9.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6126","19q","4q",0,1,NA,"MELA","9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6127","20q","4q",0,1,NA,"MELA","9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6128","21q","4q",0,1,NA,"MELA","9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6129","16p","4q",1,2,NA,"MELA","1daefc49-5248-4948-87ce-0ec19a248ef9.rds 6d4a548a-7e30-4b6b-9a13-72827eed439c.rds"
"6130","11p","4q",0.333333333333333,3,0.422649730810374,"MELA","1d4a091d-fe65-49c0-8810-5a95243b108a.rds 1daefc49-5248-4948-87ce-0ec19a248ef9.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6131","13whole","4q",0,1,NA,"MELA","9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6132","15q","4q",0,2,1,"MELA","1daefc49-5248-4948-87ce-0ec19a248ef9.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6133","18p","4q",0.666666666666667,3,0.183503419072274,"MELA","1d4a091d-fe65-49c0-8810-5a95243b108a.rds 1daefc49-5248-4948-87ce-0ec19a248ef9.rds 6d4a548a-7e30-4b6b-9a13-72827eed439c.rds"
"6134","17p","4q",1,1,NA,"MELA","1daefc49-5248-4948-87ce-0ec19a248ef9.rds"
"6135","20p","4q",0,1,NA,"MELA","9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6136","10q","4q",0.333333333333333,3,0.422649730810374,"MELA","1d4a091d-fe65-49c0-8810-5a95243b108a.rds 1daefc49-5248-4948-87ce-0ec19a248ef9.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6137","12p","4q",0,3,1,"MELA","1d4a091d-fe65-49c0-8810-5a95243b108a.rds 6d4a548a-7e30-4b6b-9a13-72827eed439c.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6138","16q","4q",0.333333333333333,3,0.422649730810374,"MELA","1d4a091d-fe65-49c0-8810-5a95243b108a.rds 6d4a548a-7e30-4b6b-9a13-72827eed439c.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6139","2q","4q",0.5,2,0.5,"MELA","1daefc49-5248-4948-87ce-0ec19a248ef9.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6140","3p","4q",0.5,2,0.5,"MELA","1daefc49-5248-4948-87ce-0ec19a248ef9.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6141","14whole","4q",1,1,NA,"MELA","1daefc49-5248-4948-87ce-0ec19a248ef9.rds"
"6142","18q","4q",0.5,2,0.5,"MELA","1d4a091d-fe65-49c0-8810-5a95243b108a.rds 1daefc49-5248-4948-87ce-0ec19a248ef9.rds"
"6143","3q","4q",1,1,NA,"MELA","6d4a548a-7e30-4b6b-9a13-72827eed439c.rds"
"6144","12q","4q",-1,1,NA,"MELA","9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6145","2p","4q",0,1,NA,"MELA","9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6146","17q","4q",0.666666666666667,3,0.183503419072274,"MELA","1daefc49-5248-4948-87ce-0ec19a248ef9.rds 6d4a548a-7e30-4b6b-9a13-72827eed439c.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6147","11q","4q",0,1,NA,"MELA","1d4a091d-fe65-49c0-8810-5a95243b108a.rds"
"6148","14q","4q",0,1,NA,"MELA","1d4a091d-fe65-49c0-8810-5a95243b108a.rds"
"6149","4p","8p",0,3,NA,"MELA","1d4a091d-fe65-49c0-8810-5a95243b108a.rds 5c3def3a-b515-41f6-8157-681b963534e7.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6150","5p","8p",0,3,NA,"MELA","1d4a091d-fe65-49c0-8810-5a95243b108a.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds b42d183c-bc9c-4652-9e56-10c54c5ee96e.rds"
"6151","5q","8p",0,1,NA,"MELA","bcefbf6a-80ff-4825-9d3a-492e2dceb35d.rds"
"6152","10p","8p",-1,1,NA,"MELA","5c3def3a-b515-41f6-8157-681b963534e7.rds"
"6153","19p","8p",-0.333333333333333,3,0.422649730810374,"MELA","51893d3f-e7f3-43f9-9fd0-c0f25ae96804.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds b42d183c-bc9c-4652-9e56-10c54c5ee96e.rds"
"6154","19q","8p",0,2,NA,"MELA","9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds b42d183c-bc9c-4652-9e56-10c54c5ee96e.rds"
"6155","20q","8p",0,1,NA,"MELA","9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6156","21q","8p",0,4,NA,"MELA","56ddcb96-e90b-4fce-aa4c-c677bbfee488.rds 5c3def3a-b515-41f6-8157-681b963534e7.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds bcefbf6a-80ff-4825-9d3a-492e2dceb35d.rds"
"6157","22q","8p",0,1,NA,"MELA","5c3def3a-b515-41f6-8157-681b963534e7.rds"
"6158","7p","8p",-0.5,2,0.5,"MELA","1d4a091d-fe65-49c0-8810-5a95243b108a.rds b42d183c-bc9c-4652-9e56-10c54c5ee96e.rds"
"6159","4q","8p",0,2,NA,"MELA","1d4a091d-fe65-49c0-8810-5a95243b108a.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6160","11p","8p",0,5,NA,"MELA","1d4a091d-fe65-49c0-8810-5a95243b108a.rds 5c3def3a-b515-41f6-8157-681b963534e7.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds b42d183c-bc9c-4652-9e56-10c54c5ee96e.rds bcefbf6a-80ff-4825-9d3a-492e2dceb35d.rds"
"6161","13whole","8p",0,1,NA,"MELA","9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6162","15q","8p",-0.5,2,0.5,"MELA","5c3def3a-b515-41f6-8157-681b963534e7.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds"
"6163","18p","8p",0,3,NA,"MELA","1d4a091d-fe65-49c0-8810-5a95243b108a.rds 58d3e932-b4a3-4cac-a6ac-73160e354a15.rds 5c3def3a-b515-41f6-8157-681b963534e7.rds"
"6164","17p","8p",-0.5,2,0.5,"MELA","b42d183c-bc9c-4652-9e56-10c54c5ee96e.rds bcefbf6a-80ff-4825-9d3a-492e2dceb35d.rds"
"6165","20p","8p",-0.25,4,0.39100221895577,"MELA","58d3e932-b4a3-4cac-a6ac-73160e354a15.rds 9fc5b5c7-3973-42b4-8710-454de0cb5b50.rds b42d183c-bc9c-4652-9e56-10c54c5ee96e.rds bcefbf6a-80ff-4825-9d3a-492e2dceb35d.rds"
