"","first_driver","second_driver","score","n_samples","p.value","type","samples"
"119","11q","18p",0,1,NA,"OV","bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"120","10p","17p",0,1,NA,"OV","6821446e-8e76-46fe-b0b9-47feb46d2585.rds"
"121","16p","17p",0.333333333333333,3,0.422649730810374,"OV","42465bbd-289b-4e96-98fe-76809c5e1520.rds 6821446e-8e76-46fe-b0b9-47feb46d2585.rds bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"122","11p","17p",-1,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"123","12p","17p",0,3,1,"OV","3a6bce45-0431-49d8-82df-b1d9a738e5a6.rds 504cdfc5-6721-43ef-b31e-fdf52f0cd9cd.rds e45f3391-2e74-4767-817a-280cebac7c57.rds"
"124","14whole","17p",0,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"125","11q","17p",0,1,NA,"OV","bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"126","13q","17p",-1,1,NA,"OV","6c31d730-1734-44ac-92b3-760981528723.rds"
"127","10p","20p",0,1,NA,"OV","6821446e-8e76-46fe-b0b9-47feb46d2585.rds"
"128","16p","20p",1,1,NA,"OV","6821446e-8e76-46fe-b0b9-47feb46d2585.rds"
"129","15q","20p",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"130","18p","20p",0.5,2,0.5,"OV","6821446e-8e76-46fe-b0b9-47feb46d2585.rds 6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"131","17p","20p",0,1,NA,"OV","6821446e-8e76-46fe-b0b9-47feb46d2585.rds"
"132","18q","20p",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"133","2p","20p",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"134","16p","16q",0,2,NA,"OV","25f73b03-4ba8-47ba-ad80-6ccb82105c98.rds d392ded3-afc8-4c79-b278-40245f18f2f8.rds"
"135","14whole","16q",1,1,NA,"OV","25f73b03-4ba8-47ba-ad80-6ccb82105c98.rds"
"136","19q","3p",0,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"137","20q","3p",1,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"138","21q","3p",0,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"139","11p","3p",0,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"140","18p","3p",0,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"141","17p","3p",1,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"142","16q","3p",0,1,NA,"OV","bbe59385-5f83-43f6-a485-517c860bef6f.rds"
"143","14whole","3p",1,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"144","2p","3p",1,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"145","4p","6p",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"146","5q","6p",-1,1,NA,"OV","504cdfc5-6721-43ef-b31e-fdf52f0cd9cd.rds"
"147","10p","6p",0,1,NA,"OV","123c9d1c-72ba-4d82-8e57-d5caa52a40ba.rds"
"148","19q","6p",0,1,NA,"OV","123c9d1c-72ba-4d82-8e57-d5caa52a40ba.rds"
"149","20q","6p",-1,1,NA,"OV","504cdfc5-6721-43ef-b31e-fdf52f0cd9cd.rds"
"150","4q","6p",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"151","11p","6p",0,1,NA,"OV","123c9d1c-72ba-4d82-8e57-d5caa52a40ba.rds"
"152","15q","6p",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"153","18p","6p",-0.333333333333333,3,0.422649730810374,"OV","123c9d1c-72ba-4d82-8e57-d5caa52a40ba.rds 504cdfc5-6721-43ef-b31e-fdf52f0cd9cd.rds 6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"154","17p","6p",-1,1,NA,"OV","504cdfc5-6721-43ef-b31e-fdf52f0cd9cd.rds"
"155","20p","6p",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"156","12p","6p",-1,1,NA,"OV","504cdfc5-6721-43ef-b31e-fdf52f0cd9cd.rds"
"157","18q","6p",0,2,NA,"OV","123c9d1c-72ba-4d82-8e57-d5caa52a40ba.rds 6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"158","2p","6p",-0.5,2,0.5,"OV","504cdfc5-6721-43ef-b31e-fdf52f0cd9cd.rds 6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"159","4p","6q",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"160","4q","6q",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"161","15q","6q",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"162","18p","6q",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"163","20p","6q",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"164","6p","6q",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"165","18q","6q",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"166","2p","6q",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"167","4p","9p",0,1,NA,"OV","ae82fead-2671-4335-a342-67bb69935ad9.rds"
"168","5p","9p",0,1,NA,"OV","6c31d730-1734-44ac-92b3-760981528723.rds"
"169","10p","9p",0,1,NA,"OV","6821446e-8e76-46fe-b0b9-47feb46d2585.rds"
"170","20q","9p",1,1,NA,"OV","e45f3391-2e74-4767-817a-280cebac7c57.rds"
"171","21q","9p",-1,1,NA,"OV","6c31d730-1734-44ac-92b3-760981528723.rds"
"172","7p","9p",0,2,NA,"OV","6821446e-8e76-46fe-b0b9-47feb46d2585.rds ae82fead-2671-4335-a342-67bb69935ad9.rds"
"173","16p","9p",1,1,NA,"OV","6821446e-8e76-46fe-b0b9-47feb46d2585.rds"
"174","8p","9p",-1,1,NA,"OV","6c31d730-1734-44ac-92b3-760981528723.rds"
"175","15q","9p",0,1,NA,"OV","acd510de-b732-4a1a-8b72-6d22e763540b.rds"
"176","18p","9p",1,2,NA,"OV","6821446e-8e76-46fe-b0b9-47feb46d2585.rds e45f3391-2e74-4767-817a-280cebac7c57.rds"
"177","17p","9p",0,4,NA,"OV","6821446e-8e76-46fe-b0b9-47feb46d2585.rds 6c31d730-1734-44ac-92b3-760981528723.rds ae82fead-2671-4335-a342-67bb69935ad9.rds e45f3391-2e74-4767-817a-280cebac7c57.rds"
"178","20p","9p",0,1,NA,"OV","6821446e-8e76-46fe-b0b9-47feb46d2585.rds"
"179","12p","9p",1,1,NA,"OV","e45f3391-2e74-4767-817a-280cebac7c57.rds"
"180","13q","9p",-1,1,NA,"OV","6c31d730-1734-44ac-92b3-760981528723.rds"
"181","11p","14whole",-1,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"182","10p","18q",0,1,NA,"OV","123c9d1c-72ba-4d82-8e57-d5caa52a40ba.rds"
"183","16p","18q",1,1,NA,"OV","d392ded3-afc8-4c79-b278-40245f18f2f8.rds"
"184","11p","18q",0.5,2,0.5,"OV","123c9d1c-72ba-4d82-8e57-d5caa52a40ba.rds 37522f18-77b2-4414-8df8-3c2c8048adba.rds"
"185","15q","18q",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"186","18p","18q",0.333333333333333,3,0.422649730810374,"OV","123c9d1c-72ba-4d82-8e57-d5caa52a40ba.rds 37522f18-77b2-4414-8df8-3c2c8048adba.rds 6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"187","12p","18q",-1,1,NA,"OV","4e913899-eeb8-4630-ba9d-41a81ced8069.rds"
"188","16q","18q",0.5,2,0.5,"OV","a330a96e-9897-4605-b5f1-5b5ef45cd365.rds d392ded3-afc8-4c79-b278-40245f18f2f8.rds"
"189","17q","18q",-1,1,NA,"OV","4e913899-eeb8-4630-ba9d-41a81ced8069.rds"
"190","19q","2p",-1,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"191","16p","2p",0,1,NA,"OV","bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"192","11p","2p",-1,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"193","15q","2p",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"194","18p","2p",-0.25,4,0.39100221895577,"OV","504cdfc5-6721-43ef-b31e-fdf52f0cd9cd.rds 6ce42746-88aa-485f-a1c4-1759aad95914.rds 7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"195","17p","2p",0,3,NA,"OV","504cdfc5-6721-43ef-b31e-fdf52f0cd9cd.rds 7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"196","12p","2p",0,1,NA,"OV","504cdfc5-6721-43ef-b31e-fdf52f0cd9cd.rds"
"197","14whole","2p",0,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"198","18q","2p",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"199","11q","2p",0,1,NA,"OV","bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"200","5q","7q",0,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"201","19q","7q",0,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"202","20q","7q",1,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
